"id","condition","trial","gameType","S","T","opponentType","encounter","prediction","choice","opponent_choice","rt","reward"
7778355,"repeated",1,"PD",2,14,"pessimist",1,100,"cooperate","cheat",11365.6999999285,2
7778355,"repeated",2,"PD",1,12,"optimist",1,-100,"cheat","cheat",8282.59999990463,5
7778355,"repeated",3,"SH",3,7,"envious",1,-100,"cooperate","cheat",9034.10000002384,3
7778355,"repeated",4,"SG",8,12,"optimist",2,-100,"cheat","cheat",4987.69999992847,5
7778355,"repeated",5,"HG",8,7,"envious",2,-100,"cheat","cooperate",3577.39999997616,7
7778355,"repeated",6,"PD",3,13,"envious",3,-100,"cheat","cheat",4917.70000004768,5
7778355,"repeated",7,"SH",1,6,"pessimist",2,100,"cooperate","cheat",4352.60000002384,1
7778355,"repeated",8,"SG",7,13,"envious",4,-100,"cheat","cheat",5428.29999995232,5
7778355,"repeated",9,"HG",9,6,"optimist",3,-100,"cheat","cooperate",4649.30000007153,6
7778355,"repeated",10,"HG",7,7,"envious",5,-100,"cooperate","cheat",10967.2999999523,7
7778355,"repeated",11,"SG",7,12,"envious",6,-100,"cheat","cheat",3368.10000002384,5
7778355,"repeated",12,"SH",3,7,"pessimist",3,100,"cheat","cheat",6584.10000002384,5
7778355,"repeated",13,"SH",1,8,"pessimist",4,100,"cooperate","cheat",4538.20000004768,1
7778355,"repeated",14,"HG",8,8,"pessimist",5,-100,"cheat","cooperate",4790.90000009537,8
7778355,"repeated",15,"SG",9,12,"optimist",4,-100,"cheat","cheat",4126.10000002384,5
7778355,"repeated",16,"PD",1,12,"trustful",1,-100,"cheat","cooperate",3059.20000004768,12
7778355,"repeated",17,"SG",9,12,"envious",7,-100,"cheat","cheat",3656.30000007153,5
7778355,"repeated",18,"PD",3,12,"optimist",5,-100,"cheat","cheat",4159.29999995232,5
7778355,"repeated",19,"SG",9,12,"pessimist",6,-100,"cheat","cooperate",2301.39999997616,12
7778355,"repeated",20,"PD",1,14,"pessimist",7,-100,"cheat","cheat",2052.30000007153,5
7778355,"repeated",21,"PD",3,14,"trustful",2,-100,"cheat","cooperate",2257.10000002384,14
7778355,"repeated",22,"SH",2,8,"trustful",3,100,"cooperate","cooperate",6986.29999995232,10
7778355,"repeated",23,"SG",8,13,"optimist",6,-100,"cheat","cheat",3131,5
7778355,"repeated",24,"SH",3,6,"optimist",7,100,"cooperate","cooperate",3492.69999992847,10
7778355,"repeated",25,"HG",8,7,"trustful",4,-100,"cheat","cooperate",2843.60000002384,7
7778355,"repeated",26,"SG",8,12,"pessimist",8,-100,"cheat","cooperate",4111.79999995232,12
7778355,"repeated",27,"SH",2,8,"pessimist",9,-100,"cheat","cheat",4523.39999997616,5
7778355,"repeated",28,"SG",9,14,"envious",8,-100,"cheat","cheat",3563.19999992847,5
